context,resolved_context,context_nouns,subcluster,subcluster_id
I have been getting hit by my dad for as long as I can remember It has been a really long time He really ruins my life I am so scared to be in my own house He abuses me physically and mentally He punches with full force he gives me bruises marks that last until the next day he hits me with the belt and today he threatened to break my neck He almost strangled me I don’t love him at all I have no respect for him and he means nothing to me We don’t have a good relationship I don’t tell him anything Even if I don’t do anything wrong he will find a way to make it seem like I did do something wrong and yell and me and hit me I can’t take it anymore Last week I almost told my school I really want to but I’m scared because I still have to deal with living with him until I am a legal adult I have pictures of it the marks and bruises he has given me I lock myself in the bathroom whenever I get into fights with him or he hits me,"CorefResult(text=""I have been getting hit by my dad for as long as I..."", clusters=[['I', 'my', 'I', 'my', 'I', 'my', 'me', 'me', 'me', 'my', 'me', 'I', 'I', 'me', 'I', 'I', 'I', 'me', 'me', 'I', 'I', 'my', 'I', 'I', 'I', 'I', 'I', 'me', 'I', 'myself', 'I', 'me'], ['my dad', 'He', 'He', 'He', 'he', 'he', 'he', 'He', 'him', 'him', 'he', 'him', 'he', 'him', 'he', 'him', 'he']])","['my dad', 'a really long time', 'my life', 'my own house', 'full force', 'bruises marks', 'the next day', 'the belt', 'my neck', 'no respect', 'a good relationship', 'a way', 'my school', 'a legal adult', 'pictures', 'the marks', 'bruises', 'the bathroom', 'fights']",abuse (general),
I have been getting hit by my dad for as long as I can remember It has been a really long time He really ruins my life I am so scared to be in my own house He abuses me physically and mentally He punches with full force he gives me bruises marks that last until the next day he hits me with the belt and today he threatened to break my neck He almost strangled me I don’t love him at all I have no respect for him and he means nothing to me We don’t have a good relationship I don’t tell him anything Even if I don’t do anything wrong he will find a way to make it seem like I did do something wrong and yell and me and hit me I can’t take it anymore Last week I almost told my school I really want to but I’m scared because I still have to deal with living with him until I am a legal adult I have pictures of it the marks and bruises he has given me I lock myself in the bathroom whenever I get into fights with him or he hits me,"CorefResult(text=""I have been getting hit by my dad for as long as I..."", clusters=[['I', 'my', 'I', 'my', 'I', 'my', 'me', 'me', 'me', 'my', 'me', 'I', 'I', 'me', 'I', 'I', 'I', 'me', 'me', 'I', 'I', 'my', 'I', 'I', 'I', 'I', 'I', 'me', 'I', 'myself', 'I', 'me'], ['my dad', 'He', 'He', 'He', 'he', 'he', 'he', 'He', 'him', 'him', 'he', 'him', 'he', 'him', 'he', 'him', 'he']])","['my dad', 'a really long time', 'my life', 'my own house', 'full force', 'bruises marks', 'the next day', 'the belt', 'my neck', 'no respect', 'a good relationship', 'a way', 'my school', 'a legal adult', 'pictures', 'the marks', 'bruises', 'the bathroom', 'fights']",love (Supportive Actions),0
He really ruins my life If he weren’t in my life it would be amazing I can’t be with him anymore He is the worst father a kid could have Please help me,"CorefResult(text=""He really ruins my life If he weren’t in my life i..."", clusters=[['He', 'he', 'him', 'He'], ['my', 'my', 'I', 'me'], ['my life', 'my life']])","['my life', 'my life', 'the worst father', 'a kid']",help (Negative Affect / Conflict Emotion),4
From a young woman in Australia: I care little about people other than immediate family and my partner I’m very possessive of people and get angry (internally) if they show interest in/preference to others This applies most to “friends” (they would call me a friend but I don’t consider them that),"CorefResult(text=""From a young woman in Australia: I care little abo..."", clusters=[['a young woman in Australia', 'I', 'my', 'I', 'me', 'I'], ['people', 'they', 'they', 'them'], ['a friend', 'that']])","['a young woman', 'people', 'immediate family', 'my partner', 'people', 'interest', 'preference', 'others', '“friends', 'a friend']",care (general),
From a young woman in Australia: I care little about people other than immediate family and my partner I’m very possessive of people and get angry (internally) if they show interest in/preference to others This applies most to “friends” (they would call me a friend but I don’t consider them that),"CorefResult(text=""From a young woman in Australia: I care little abo..."", clusters=[['a young woman in Australia', 'I', 'my', 'I', 'me', 'I'], ['people', 'they', 'they', 'them'], ['a friend', 'that']])","['a young woman', 'people', 'immediate family', 'my partner', 'people', 'interest', 'preference', 'others', '“friends', 'a friend']",care (general),
I’ve been dating this guy for 2 years When he is “on” it is great We are able to talk about any subject and have lots of fun and what appears to be a deep connection – we talk about serious subjects philosophies growth the meaning of life,"CorefResult(text=""I’ve been dating this guy for 2 years When he is “..."", clusters=[['this guy', 'he'], ['We', 'we']])","['this guy', '2 years', 'any subject', 'lots', 'fun', 'a deep connection', 'serious subjects philosophies', 'the meaning', 'life']",date (Negative Affect / Conflict Emotion),0
I’ve been dating this guy for 2 years When he is “on” it is great We are able to talk about any subject and have lots of fun and what appears to be a deep connection – we talk about serious subjects philosophies growth the meaning of life,"CorefResult(text=""I’ve been dating this guy for 2 years When he is “..."", clusters=[['this guy', 'he'], ['We', 'we']])","['this guy', '2 years', 'any subject', 'lots', 'fun', 'a deep connection', 'serious subjects philosophies', 'the meaning', 'life']",date (Negative Affect / Conflict Emotion),0
etc It’s very engaging This goes on for a few months and then suddenly he turns “off” One day I wake up and we are not connecting at the “normal” pace (ie daily phone calls a few texts or plans for in person contact),"CorefResult(text=""etc It’s very engaging This goes on for a few mont..."", clusters=[])","['a few months', 'the “normal” pace', 'a few texts', 'plans', 'person contact']",connect (general),
he felt I abandoned him (I had some trips,"CorefResult(text=""he felt I abandoned him (I had some trips"", clusters=[['I', 'I']])",['some trips'],abandon (general),
and so I was out of town) he was nervous that I’d reject some of his behavior that he’d been hiding (he smokes occasionally),"CorefResult(text=""and so I was out of town) he was nervous that I’d ..."", clusters=[['I', 'I'], ['he', 'his', 'he', 'he']])","['town', 'his behavior']",reject (general),
He prefers their company to that of people I don’t even know if he has friends He certainly avoids his college peers He has dinner alone and goes to sleep early (I bet it is only to avoid us too),"CorefResult(text=""He prefers their company to that of people I don’t..."", clusters=[['He', 'he', 'He', 'his', 'He'], ['I', 'I']])","['their company', 'people', 'friends', 'his college peers', 'dinner', 'sleep']",avoid (general),
My friend is sad a lot because she is alone and doesn’t have a boyfriend She always belittles herself and says she isn’t good enough At first I told her to be patient and focus on bettering herself and she would find someone soon I now see that she is looking for someone else to be her main source of happiness After pointing out to her what she was doing I then told her that she can’t love anyone else until she learns to love herself To which she responded “I can’t love myself I don’t know how to” How can I help her?,"CorefResult(text=""My friend is sad a lot because she is alone and do..."", clusters=[['My friend', 'she', 'She', 'herself', 'she', 'her', 'herself', 'she', 'she', 'her', 'her', 'she', 'her', 'she', 'she', 'herself', 'she', 'I', 'myself', 'I', 'her'], ['My', 'I', 'I', 'I', 'I']])","['My friend', 'a boyfriend', 'her main source', 'happiness']",love (Supportive Actions),2
My friend is sad a lot because she is alone and doesn’t have a boyfriend She always belittles herself and says she isn’t good enough At first I told her to be patient and focus on bettering herself and she would find someone soon I now see that she is looking for someone else to be her main source of happiness After pointing out to her what she was doing I then told her that she can’t love anyone else until she learns to love herself To which she responded “I can’t love myself I don’t know how to” How can I help her?,"CorefResult(text=""My friend is sad a lot because she is alone and do..."", clusters=[['My friend', 'she', 'She', 'herself', 'she', 'her', 'herself', 'she', 'she', 'her', 'her', 'she', 'her', 'she', 'she', 'herself', 'she', 'I', 'myself', 'I', 'her'], ['My', 'I', 'I', 'I', 'I']])","['My friend', 'a boyfriend', 'her main source', 'happiness']",love (Supportive Actions),0
My friend is sad a lot because she is alone and doesn’t have a boyfriend She always belittles herself and says she isn’t good enough At first I told her to be patient and focus on bettering herself and she would find someone soon I now see that she is looking for someone else to be her main source of happiness After pointing out to her what she was doing I then told her that she can’t love anyone else until she learns to love herself To which she responded “I can’t love myself I don’t know how to” How can I help her?,"CorefResult(text=""My friend is sad a lot because she is alone and do..."", clusters=[['My friend', 'she', 'She', 'herself', 'she', 'her', 'herself', 'she', 'she', 'her', 'her', 'she', 'her', 'she', 'she', 'herself', 'she', 'I', 'myself', 'I', 'her'], ['My', 'I', 'I', 'I', 'I']])","['My friend', 'a boyfriend', 'her main source', 'happiness']",help (Negative Affect / Conflict Emotion),1
We never got a long as kids because I was raised separately as a child She lived with 4 other of my siblings and I lived with an aunt of mine with her child till I was 10,"CorefResult(text=""We never got a long as kids because I was raised s..."", clusters=[['I', 'my', 'I', 'mine', 'I'], ['an aunt of mine', 'her']])","['kids', 'a child', 'my siblings', 'an aunt', 'mine', 'her child']",raise (general),
but I think I’m in love with an old time friend and I do not know what to do I’m torn about this I care about both so much please help my what can I do to know what the right choice will be ???,"CorefResult(text=""but I think I’m in love with an old time friend an..."", clusters=[['I', 'I', 'I', 'I', 'I', 'my', 'I']])","['love', 'an old time friend', 'the right choice']",care (general),
From a teen in Canada:  me and my boyfriend have been dating for 17 years both 18 years old so our relationship is very good dispute the arguments and a 4 month break from each other to sort out our life because we are at the age where the decisions we make are ever lasting,"CorefResult(text=""From a teen in Canada:  me and my boyfriend have b..."", clusters=[['a teen in Canada', 'me', 'my'], ['me and my boyfriend', 'our', 'our', 'we', 'we']])","['a teen', 'my boyfriend', '17 years', 'our relationship', 'the arguments', 'a 4 month break', 'our life', 'the age', 'the decisions']",date (Negative Affect / Conflict Emotion),1
From a teen in Canada:  me and my boyfriend have been dating for 17 years both 18 years old so our relationship is very good dispute the arguments and a 4 month break from each other to sort out our life because we are at the age where the decisions we make are ever lasting,"CorefResult(text=""From a teen in Canada:  me and my boyfriend have b..."", clusters=[['a teen in Canada', 'me', 'my'], ['me and my boyfriend', 'our', 'our', 'we', 'we']])","['a teen', 'my boyfriend', '17 years', 'our relationship', 'the arguments', 'a 4 month break', 'our life', 'the age', 'the decisions']",date (Negative Affect / Conflict Emotion),1
From a teen in Canada:  me and my boyfriend have been dating for 17 years both 18 years old so our relationship is very good dispute the arguments and a 4 month break from each other to sort out our life because we are at the age where the decisions we make are ever lasting,"CorefResult(text=""From a teen in Canada:  me and my boyfriend have b..."", clusters=[['a teen in Canada', 'me', 'my'], ['me and my boyfriend', 'our', 'our', 'we', 'we']])","['a teen', 'my boyfriend', '17 years', 'our relationship', 'the arguments', 'a 4 month break', 'our life', 'the age', 'the decisions']",date (Negative Affect / Conflict Emotion),2
From a teen in Canada:  me and my boyfriend have been dating for 17 years both 18 years old so our relationship is very good dispute the arguments and a 4 month break from each other to sort out our life because we are at the age where the decisions we make are ever lasting,"CorefResult(text=""From a teen in Canada:  me and my boyfriend have b..."", clusters=[['a teen in Canada', 'me', 'my'], ['me and my boyfriend', 'our', 'our', 'we', 'we']])","['a teen', 'my boyfriend', '17 years', 'our relationship', 'the arguments', 'a 4 month break', 'our life', 'the age', 'the decisions']",date (Negative Affect / Conflict Emotion),2
I’ve never had sex with underage girls cause i also like 20-28 yo women but mostly i like teen girls age range 14-19,"CorefResult(text=""I’ve never had sex with underage girls cause i als..."", clusters=[['I', 'i', 'i']])","['sex', 'underage girls', '20-28 yo women', 'teen girls', 'age']",like (Supportive Actions),1
I like %80 teenage girls(14-19) and %20 adult women (20 and up),"CorefResult(text=""I like %80 teenage girls(14-19) and %20 adult wome..."", clusters=[])","['girls(14', '%20 adult women']",like (Supportive Actions),1
From a teen in the US: I’m a 14 year old girl and I feel like I’m not attracted to straight guys I’m only attracted to gay guys I’ve had boyfriends but it’s not normal I like them,"CorefResult(text=""From a teen in the US: I’m a 14 year old girl and ..."", clusters=[['a teen in the US', 'I', 'I', 'I', 'I', 'I', 'I'], ['boyfriends', 'them']])","['a teen', 'a 14 year old girl', 'straight guys', 'gay guys', 'boyfriends']",like (Supportive Actions),1
and I felt like that’s what I liked I just don’t know what to do,"CorefResult(text=""and I felt like that’s what I liked I just don’t k..."", clusters=[['I', 'I', 'I']])",[],like (Supportive Actions),1
I was abused physically mentally and emotionally by my mother for the majority of my life I’ve recently left the situation and am now worried I have (a few) gaps in my memory remember things happening but like I was a passenger in my own body and have heard voices from a small child a grown woman a teenage boy amongst my own They’re like fragments or me but not at the same time because they’re not me if that makes any sense I don’t know what to do Am I broken?,"CorefResult(text=""I was abused physically mentally and emotionally b..."", clusters=[['I', 'my', 'my', 'I', 'I', 'my', 'I', 'my', 'my', 'me', 'me', 'I', 'I'], ['voices from a small child a grown woman a teenage boy amongst my own', 'They', 'they']])","['my mother', 'the majority', 'my life', 'the situation', '(a few) gaps', 'my memory', 'things', 'a passenger', 'my own body', 'voices', 'a small child', 'a grown woman', 'a teenage boy', 'fragments', 'the same time', 'any sense']",abuse (general),
I have a room there and everything she says because she doesn’t trust me and she doesn’t feel safe around me when she’s literally thrown stuff at my head called the cops on me and everything Living with my dad may be sucky but it’s a hell of a lot better than sleeping on the floor,"CorefResult(text=""I have a room there and everything she says becaus..."", clusters=[['she', 'she', 'she', 'she'], ['I', 'me', 'me', 'my', 'me', 'my'], ['Living', 'it']])","['a room', 'stuff', 'my head', 'the cops', 'my dad', 'a hell', 'the floor']",trust (general),
I do care very deeply for some people and I love helping my loved ones and making their lives better,"CorefResult(text=""I do care very deeply for some people and I love h..."", clusters=[['I', 'I', 'my'], ['my loved ones', 'their']])","['some people', 'my loved ones', 'their lives']",care (general),
He told me he had only talked to one girl (I saw conversations with multiple women) and only because she had mental issues After that he stopped talking to them online yet still kept playing video games He was supposed to find a new job since his PT job slowly stopped making him any money yet he wasn’t able to (or didn’t even try) find one within the past 6-7months He plays his computer games around 10 hours a day goes to bed at 3-5am pretty much every day spends money (that I’m trying to save) on his games and ignores everything around the house Whenever I try to confront him about something he gets very upset calls me names like “b*tch” “idiot” and just yells at me Whenever I find out he lied to me about something it’s the same – starts to yell at me starts to throw things hit himself calls me names and sometimes blames it on me Then he always apologizes and tells me how much he loves me and that I’m his everything Now he is supposed to go back to school starting in two weeks but every time I asked him to show me his log in schedule or just something he gets upset and his log in magically doesn’t workI looked at his school email and saw many emails from his school counselors telling him that he was late to sign up and can only sign up for summer semester at this point He also lied to them why he dropped out of school a year ago and said it was because of his dad’s illness (even though his dad is perfectly fine)I don’t have anyone to talk to since I moved from a different country to be with him,"CorefResult(text=""He told me he had only talked to one girl (I saw c..."", clusters=[['He', 'he', 'he', 'He', 'his', 'him', 'he', 'He', 'his', 'his', 'him', 'he', 'he', 'himself', 'he', 'he', 'his', 'he', 'him', 'his', 'he', 'his', 'his', 'his', 'him', 'he', 'He', 'he', 'his', 'his', 'him'], ['me', 'I', 'I', 'I', 'me', 'me', 'I', 'me', 'me', 'me', 'me', 'me', 'me', 'I', 'I', 'me', 'I'], ['one girl', 'she'], ['multiple women', 'them'], ['his computer games', 'his games'], ['lied', 'it'], ['his log in schedule', 'his log in'], ['his school counselors', 'them'], ['dropped', 'it'], ['his dad’s', 'his dad']])","['one girl', 'conversations', 'multiple women', 'mental issues', 'video games', 'a new job', 'his PT job', 'his computer games', '10 hours', 'a day', 'bed', 'money', 'his games', 'the house', 'names', '“b*tch” “idiot', 'things', 'names', 'school', 'two weeks', 'his log', 'schedule', 'his log', 'his school email', 'many emails', 'his school counselors', 'summer semester', 'this\xa0point', 'school', 'his dad’s illness', 'his dad', 'a different country']",love (Supportive Actions),3
Hello there I am a 34-year-old male happily married with kids I love my kids and i love kids in general and have always been affectionate towards kids and infants in general I have observed that in the recent past (since 3 – 4 years),"CorefResult(text=""Hello there I am a 34-year-old male happily marrie..."", clusters=[['I', 'I', 'my', 'i', 'I'], ['kids', 'my kids'], ['been', 'that']])","['a 34-year-old male', 'kids', 'my kids', 'kids', 'kids', 'infants', 'the recent past', '4 years']",love (Supportive Actions),0
Hello there I am a 34-year-old male happily married with kids I love my kids and i love kids in general and have always been affectionate towards kids and infants in general I have observed that in the recent past (since 3 – 4 years),"CorefResult(text=""Hello there I am a 34-year-old male happily marrie..."", clusters=[['I', 'I', 'my', 'i', 'I'], ['kids', 'my kids'], ['been', 'that']])","['a 34-year-old male', 'kids', 'my kids', 'kids', 'kids', 'infants', 'the recent past', '4 years']",love (Supportive Actions),0
Apart from these infants i don’t have this feeling for any other infant in the world I like children and infants in general and do not have any bad feelings for anyone else My relationship with my wife’s sister is very good and i do not have any problem with my wife’s sister or her husband and we enjoy a warm family relationship however i do not like my wife’s brother as such,"CorefResult(text=""Apart from these infants i don’t have this feeling..."", clusters=[['i', 'I', 'My', 'my', 'i', 'my', 'i', 'my'], ['my wife’s', 'my wife’s', 'her', 'my wife’s'], ['my wife’s sister', 'my wife’s sister']])","['these infants', 'this feeling', 'any other infant', 'the world', 'children', 'infants', 'any bad feelings', 'My relationship', 'my wife’s sister', 'any problem', 'my wife’s sister', 'her husband', 'a warm family relationship', 'my wife’s brother']",like (Supportive Actions),1
Apart from these infants i don’t have this feeling for any other infant in the world I like children and infants in general and do not have any bad feelings for anyone else My relationship with my wife’s sister is very good and i do not have any problem with my wife’s sister or her husband and we enjoy a warm family relationship however i do not like my wife’s brother as such,"CorefResult(text=""Apart from these infants i don’t have this feeling..."", clusters=[['i', 'I', 'My', 'my', 'i', 'my', 'i', 'my'], ['my wife’s', 'my wife’s', 'her', 'my wife’s'], ['my wife’s sister', 'my wife’s sister']])","['these infants', 'this feeling', 'any other infant', 'the world', 'children', 'infants', 'any bad feelings', 'My relationship', 'my wife’s sister', 'any problem', 'my wife’s sister', 'her husband', 'a warm family relationship', 'my wife’s brother']",like (Supportive Actions),1
Apart from these infants i don’t have this feeling for any other infant in the world I like children and infants in general and do not have any bad feelings for anyone else My relationship with my wife’s sister is very good and i do not have any problem with my wife’s sister or her husband and we enjoy a warm family relationship however i do not like my wife’s brother as such,"CorefResult(text=""Apart from these infants i don’t have this feeling..."", clusters=[['i', 'I', 'My', 'my', 'i', 'my', 'i', 'my'], ['my wife’s', 'my wife’s', 'her', 'my wife’s'], ['my wife’s sister', 'my wife’s sister']])","['these infants', 'this feeling', 'any other infant', 'the world', 'children', 'infants', 'any bad feelings', 'My relationship', 'my wife’s sister', 'any problem', 'my wife’s sister', 'her husband', 'a warm family relationship', 'my wife’s brother']",like (Supportive Actions),1
Apart from these infants i don’t have this feeling for any other infant in the world I like children and infants in general and do not have any bad feelings for anyone else My relationship with my wife’s sister is very good and i do not have any problem with my wife’s sister or her husband and we enjoy a warm family relationship however i do not like my wife’s brother as such,"CorefResult(text=""Apart from these infants i don’t have this feeling..."", clusters=[['i', 'I', 'My', 'my', 'i', 'my', 'i', 'my'], ['my wife’s', 'my wife’s', 'her', 'my wife’s'], ['my wife’s sister', 'my wife’s sister']])","['these infants', 'this feeling', 'any other infant', 'the world', 'children', 'infants', 'any bad feelings', 'My relationship', 'my wife’s sister', 'any problem', 'my wife’s sister', 'her husband', 'a warm family relationship', 'my wife’s brother']",like (Supportive Actions),1
From a teen in the US: Hi I been struggling from depression all my life and i use the internet in way to numb my pain and to forget im even alive I left a religion that i didn’t approve of when i was 15 Jehovah Witness and my mom wants to force me to go She tells me Im not happy because I dont believe in god,"CorefResult(text=""From a teen in the US: Hi I been struggling from d..."", clusters=[['I', 'my', 'i', 'my', 'i', 'I', 'i', 'i', 'my', 'me', 'me', 'I', 'I'], ['my mom', 'She']])","['a teen', 'depression', 'the internet', 'way', 'my pain', 'a religion', 'my mom']",believe (general),
From a young woman in the US: My sister is obsessed with blaming how she was raised for all of her problems and makes up stories about her childhood She recently got a degree in early childhood development When she was still in school taking the classes for her major she started talking a lot about her own childhood and criticizing how she was brought up,"CorefResult(text=""From a young woman in the US: My sister is obsesse..."", clusters=[['a young woman in the US', 'My'], ['My sister', 'she', 'her', 'her', 'She', 'she', 'her', 'she', 'her', 'she']])","['a young woman', 'My sister', 'her problems', 'stories', 'her childhood', 'a degree', 'early childhood development', 'school', 'the classes', 'her major', 'a lot', 'her own childhood']",raise (general),
Through my childhood I was abused mentally and physically I believe I have done my best to overcome it and get as much closure as possible However and as much as I don’t enjoy to admit it’s still with me I’m 18,"CorefResult(text=""Through my childhood I was abused mentally and phy..."", clusters=[['my', 'I', 'I', 'I', 'my', 'I', 'me', 'I'], ['abused', 'it', 'it']])","['my childhood', 'as much closure']",abuse (general),
From the US: I divorced several years ago after 18 years in an abusive marriage  I have been dating an old friend from college for over 1 year  This man is very gentle and kind and does a lot of nice things for me  He spends most of his free time with me when possible but he lives an hour away  He always makes the drive to see me and comes 2-3 times a week to do things or hang out with me,"CorefResult(text=""From the US: I divorced several years ago after 18..."", clusters=[['I', 'I', 'me', 'me', 'me', 'me'], ['an old friend from college', 'This man', 'He', 'his', 'he', 'He']])","['18 years', 'an abusive marriage', 'an old friend', 'college', 'over 1 year', 'This man', 'a lot', 'nice things', 'his free time', 'the drive', 'things']",date (Negative Affect / Conflict Emotion),0
From the US: I divorced several years ago after 18 years in an abusive marriage  I have been dating an old friend from college for over 1 year  This man is very gentle and kind and does a lot of nice things for me  He spends most of his free time with me when possible but he lives an hour away  He always makes the drive to see me and comes 2-3 times a week to do things or hang out with me,"CorefResult(text=""From the US: I divorced several years ago after 18..."", clusters=[['I', 'I', 'me', 'me', 'me', 'me'], ['an old friend from college', 'This man', 'He', 'his', 'he', 'He']])","['18 years', 'an abusive marriage', 'an old friend', 'college', 'over 1 year', 'This man', 'a lot', 'nice things', 'his free time', 'the drive', 'things']",date (Negative Affect / Conflict Emotion),0
However he’s a nice independent man (he got his own house and car) with 28 years old I love him he is very honest and kind to me,"CorefResult(text=""However he’s a nice independent man (he got his ow..."", clusters=[['he', 'he', 'his', 'him', 'he'], ['I', 'me']])","['a nice independent man', 'his own house', 'car']",love (Supportive Actions),0
I’ve never been in a long-lasting relationship and even my friendships seem distant because I just can’t stand the feeling of love/affection As a kid when my parents told me that they loved me I distinctly remember dry-heaving in disgust and discomfort I’ve gotten slightly better with that but now that I’m older and more mature I’m beginning to feel “love” toward others and it makes me just as uncomfortable Any time I find myself getting particularly close to someone I begin to resent them I want to hurt them If I somehow manage to get into a romantic relationship with somebody I want to hurt them I find myself fantasizing about mutilating them and I have no idea why If I’m having sex all I can think about is mutilating my partner’s genitals I’d like to add that I’m a lesbian,"CorefResult(text=""I’ve never been in a long-lasting relationship and..."", clusters=[['I', 'my', 'I', 'my', 'me', 'me', 'I', 'I', 'I', 'I', 'me', 'I', 'myself', 'I', 'I', 'I', 'I', 'I', 'myself', 'I', 'I', 'I', 'my', 'I', 'I'], ['my parents', 'they'], ['dry-heaving', 'that'], ['feel', 'it'], ['someone', 'them', 'them', 'them', 'them']])","['a long-lasting relationship', 'even my friendships', 'the feeling', 'love/affection', 'a kid', 'my parents', 'dry-heaving', 'disgust', 'discomfort', '“love', 'others', 'a romantic relationship', 'no idea', 'my partner’s genitals', 'a lesbian']",love (Supportive Actions),1
so I only date those of my own gender and therefore only want to do that to them (if that’s significant),"CorefResult(text=""so I only date those of my own gender and therefor..."", clusters=[['I', 'my'], ['those of my own gender', 'them']])",['my own gender'],date (Negative Affect / Conflict Emotion),0
I don’t know if it’s a fetish but even if it is I still think that’s concerning Even with my friends I wanna slam their head into a wall the more I like them,"CorefResult(text=""I don’t know if it’s a fetish but even if it is I ..."", clusters=[['it', 'it'], ['I', 'I', 'my', 'I', 'I'], ['my friends', 'their', 'them']])","['a fetish', 'my friends', 'their head', 'a wall']",like (Supportive Actions),1
When I was around 5 years old (my best guess I am not exactly sure because used to go to elementary school back then) I dreamt of being tied up and two or three people sexually abused me in the dream I remember being touched and being asked if it feels good After waking up Unlike other dreams I remembered the dream in clear detail to this day and could not make out of what it was since at that age I knew nothing about sex,"CorefResult(text=""When I was around 5 years old (my best guess I am ..."", clusters=[['I', 'my', 'I', 'I', 'me', 'I', 'I', 'I'], ['the dream', 'the dream', 'it']])","['elementary school', 'two or three people', 'the dream', 'other dreams', 'the dream', 'clear detail', 'this day', 'that age', 'sex']",abuse (general),
When I was around 5 years old (my best guess I am not exactly sure because used to go to elementary school back then) I dreamt of being tied up and two or three people sexually abused me in the dream I remember being touched and being asked if it feels good After waking up Unlike other dreams I remembered the dream in clear detail to this day and could not make out of what it was since at that age I knew nothing about sex,"CorefResult(text=""When I was around 5 years old (my best guess I am ..."", clusters=[['I', 'my', 'I', 'I', 'me', 'I', 'I', 'I'], ['the dream', 'the dream', 'it']])","['elementary school', 'two or three people', 'the dream', 'other dreams', 'the dream', 'clear detail', 'this day', 'that age', 'sex']",abuse (general),
When my mother was young she had a son called Braxtan who had passed away at the age of 2 before I was even born If he were still alive now he would have the role of the oldest child in our family instead of me Being the oldest child I feel very pressured in everything I do and I also argue with my parents a lot (which makes me quite upset) because of this I quite frequently find myself wishing that Braxtan would just burst through the front door and would be there for me when I feel although no one else is I believe that I miss him incredibly much,"CorefResult(text=""When my mother was young she had a son called Brax..."", clusters=[['my mother', 'she'], ['my', 'I', 'me', 'I', 'I', 'I', 'my', 'me', 'I', 'myself', 'me', 'I', 'I', 'I'], ['a son called Braxtan who had passed away at the age of 2 before I was even born', 'he', 'he', 'Braxtan', 'him']])","['my mother', 'a son', 'the age', 'the role', 'the oldest child', 'our family', 'the oldest child', 'my parents', 'a lot', 'the front door', 'no one']",miss (general),
From the US: I have been with my boyfriend for 2 years I love him so much He has 3 children who I get along with very well but recently I find myself resenting his daughter (6 y/o) and it’s causing us to fight She lies constantly and tells her mother all these bad (and untrue) things about our house which her mom records It makes me not want to speak with her She also used to want to hang out with me and do stuff but has admitted that her mother tells her not so when she is with her dad she acts weird,"CorefResult(text=""From the US: I have been with my boyfriend for 2 y..."", clusters=[['I', 'my', 'I', 'I', 'I', 'myself', 'me', 'me'], ['him', 'He', 'his'], ['his daughter (6 y/o)', 'She', 'her', 'her', 'her', 'She', 'her', 'her', 'she', 'her', 'she'], ['us', 'our'], ['her mother', 'her mom', 'her mother']])","['my boyfriend', '2 years', '3 children', 'his daughter', 'her mother', 'all these bad (and untrue) things', 'our house', 'her mom', 'stuff', 'her mother', 'her dad']",love (Supportive Actions),0
From the US: I have been with my boyfriend for 2 years I love him so much He has 3 children who I get along with very well but recently I find myself resenting his daughter (6 y/o) and it’s causing us to fight She lies constantly and tells her mother all these bad (and untrue) things about our house which her mom records It makes me not want to speak with her She also used to want to hang out with me and do stuff but has admitted that her mother tells her not so when she is with her dad she acts weird,"CorefResult(text=""From the US: I have been with my boyfriend for 2 y..."", clusters=[['I', 'my', 'I', 'I', 'I', 'myself', 'me', 'me'], ['him', 'He', 'his'], ['his daughter (6 y/o)', 'She', 'her', 'her', 'her', 'She', 'her', 'her', 'she', 'her', 'she'], ['us', 'our'], ['her mother', 'her mom', 'her mother']])","['my boyfriend', '2 years', '3 children', 'his daughter', 'her mother', 'all these bad (and untrue) things', 'our house', 'her mom', 'stuff', 'her mother', 'her dad']",resent (general),
and she is dating a guy who is also over 18 is missing one eye has no education no job and no money he makes her pay for his lunch dinner,"CorefResult(text=""and she is dating a guy who is also over 18 is mis..."", clusters=[['she', 'her'], ['he', 'his']])","['a guy', 'one eye', 'no education', 'no job', 'no money', 'his lunch dinner']",date (Negative Affect / Conflict Emotion),1
I love my daughter and I don’t want to see her miserable Everyone says they are adults,"CorefResult(text=""I love my daughter and I don’t want to see her mis..."", clusters=[['I', 'my', 'I']])","['my daughter', 'adults']",love (Supportive Actions),0
